Custid,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntSneakers,MntTShirts,MntRackets,MntWatches,MntHats,MntPremium_Brand,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain,DepVar,Age,TimeAsCustomer,TotalCampaigns,PremBrandFan,TotalMnt,TotalPurchases,HighEducation,MaritalStatusLabel
70012576,2n Cycle,Single,0.652411741885426,0.0,0.0,0.0,0.12625250501002006,0.5217391304347826,0.3795863909272848,0.43258426966292135,0.7105263157894737,0.6187363834422659,0.07692307692307693,0.24137931034482757,0.46153846153846156,0.5,0.05555555555555555,0,0,0,0,0,0,0,0.5272727272727273,1079,0.0,0,0.48669426374926084,0.5263157894736842,1,2
70034556,Basic,Together,0.40256045519203415,0.0,0.5,0.0,0.4822979291917168,0.09698996655518395,0.19212808539026016,0.05056179775280899,0.07142857142857142,0.22004357298474947,0.38461538461538464,0.1724137931034483,0.3076923076923077,0.7857142857142857,0.4444444444444444,0,1,0,0,0,0,0,0.6363636363636362,1723,0.25,0,0.3489059727971615,0.5263157894736842,0,3
70021396,Graduation,Married,0.29121944911418596,1.0,0.0,0.0,0.013360053440213761,0.020066889632107024,0.00800533689126084,0.011235955056179775,0.022556390977443608,0.013071895424836603,0.07692307692307693,0.1724137931034483,0.15384615384615385,0.2857142857142857,0.4444444444444444,0,0,0,0,0,0,0,0.3818181818181818,1308,0.0,0,0.015079834417504436,0.2894736842105263,1,1
70035464,Graduation,Married,0.3428035691193586,0.0,0.5,0.0,0.05210420841683367,0.0,0.011340893929286189,0.0,0.0,0.02178649237472767,0.07692307692307693,0.1724137931034483,0.23076923076923078,0.2857142857142857,0.2777777777777778,0,0,0,0,0,0,0,0.6727272727272726,1228,0.0,0,0.02897693672383205,0.3157894736842105,1,1
70008640,Master,Married,0.5504332083279451,0.0,0.0,0.0,0.2244488977955912,0.6521739130434783,0.4116077384923282,0.9325842696629213,0.03383458646616541,0.12200435729847496,0.07692307692307693,0.24137931034482757,0.6923076923076923,0.42857142857142855,0.1111111111111111,0,0,0,0,0,0,0,0.39999999999999997,1170,0.0,0,0.40833826138379664,0.5789473684210527,1,1
70008448,Graduation,Married,0.3535367903788956,0.5,0.0,0.0,0.32197728790915164,0.26755852842809363,0.20547031354236156,0.3146067415730337,0.33458646616541354,0.06971677559912855,0.46153846153846156,0.3103448275862069,0.3076923076923077,0.42857142857142855,0.3333333333333333,0,0,0,0,0,0,1,0.3272727272727273,1735,0.0,0,0.333826138379657,0.5,1,1
70009296,Master,Together,0.3650976335186861,0.5,0.5,0.0,0.044756179024716104,0.006688963210702341,0.04603068712474983,0.011235955056179775,0.007518796992481203,0.017429193899782137,0.23076923076923078,0.2068965517241379,0.15384615384615385,0.3571428571428571,0.38888888888888884,0,0,0,0,0,0,0,0.6545454545454545,1675,0.0,0,0.042874039030159676,0.3421052631578947,1,3
70042972,Master,Married,0.5345855424802792,0.0,0.0,0.0,0.20374081496325988,0.7625418060200668,0.32555036691127415,0.6741573033707865,0.14285714285714285,0.08061002178649239,0.07692307692307693,0.24137931034482757,0.46153846153846156,0.5,0.05555555555555555,0,0,0,0,0,0,0,0.7454545454545454,1515,0.0,0,0.3687167356593732,0.5263157894736842,1,1
70004636,2n Cycle,Divorced,0.22760248286564075,0.5,0.0,0.0,0.0033400133600534404,0.010033444816053512,0.00600400266844563,0.0056179775280898875,0.007518796992481203,0.02396514161220044,0.07692307692307693,0.13793103448275862,0.15384615384615385,0.21428571428571427,0.38888888888888884,0,0,0,0,0,0,0,0.18181818181818182,1328,0.0,0,0.00768775872264932,0.23684210526315788,1,0
70011904,Graduation,Single,0.2596405017457649,0.0,0.0,0.0,0.005344021376085505,0.03678929765886287,0.01000667111407605,0.11235955056179775,0.0037593984962406013,0.03703703703703704,0.07692307692307693,0.1724137931034483,0.15384615384615385,0.2857142857142857,0.4444444444444444,0,0,0,0,0,0,0,0.6909090909090909,1391,0.0,0,0.019515079834417505,0.2894736842105263,1,2
